,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,TRADES_COUNT,DISCOUNT_RATE,OPDATE,OPMODE
624,511010.SH,20180510,112.046,112.059,111.98,112.011,23330.0,261314.704,113.364,113.403,113.417,113.337,113.368,1.012115,12212.0,-0.4117,2018-05-10 15:05:46,0
992,511010.SH,20180511,112.006,112.121,111.997,112.083,21514.99,241133.191,113.368,113.363,113.479,113.354,113.441,1.012115,11659.0,-0.4202,2018-05-11 15:06:12,0
163,511010.SH,20180514,112.105,112.15,112.07,112.089,17524.0,196507.172,113.441,113.463,113.509,113.428,113.447,1.012115,6986.0,-0.3768,2018-05-14 15:06:19,0
376,511010.SH,20180515,112.115,112.118,112.052,112.066,19779.0,221663.241,113.447,113.473,113.476,113.41,113.424,1.012115,10566.0,-0.3778,2018-05-15 15:05:51,0
463,511010.SH,20180516,112.071,112.121,112.05,112.087,15872.0,177916.855,113.424,113.429,113.479,113.407,113.445,1.012115,7877.0,-0.3219,2018-05-16 15:05:37,0
934,511010.SH,20180517,112.08,112.086,112.036,112.044,21439.0,240254.378,113.445,113.438,113.444,113.393,113.401,1.012115,9079.0,-0.3203,2018-05-17 15:06:12,0
666,511010.SH,20180518,112.045,112.106,112.045,112.047,17727.0,198677.346,113.401,113.402,113.464,113.402,113.404,1.012115,6088.0,-0.3034,2018-05-18 15:10:53,0
471,511010.SH,20180521,112.05,112.089,112.017,112.063,17500.0,196112.412,113.404,113.407,113.447,113.374,113.421,1.012115,6319.0,-0.3353,2018-05-21 15:06:33,0
455,511010.SH,20180522,112.063,112.19,112.062,112.116,17160.0,192431.879,113.421,113.421,113.549,113.42,113.474,1.012115,6644.0,-0.3458,2018-05-22 15:05:17,0
808,511010.SH,20180523,112.12,112.225,112.12,112.214,10214.0,114584.506,113.474,113.478,113.585,113.478,113.573,1.012115,4657.0,-0.2578,2018-05-23 15:06:02,0
1270,511010.SH,20180524,112.216,112.337,112.216,112.295,7345.83,82477.555,113.573,113.575,113.698,113.575,113.655,1.012115,3655.0,-0.1627,2018-05-24 15:08:50,0
1446,511010.SH,20180525,112.295,112.5,112.286,112.493,6434.15,72344.973,113.655,113.655,113.863,113.646,113.856,1.012115,2965.0,-0.0364,2018-05-25 15:08:01,0
442,511010.SH,20180528,112.454,112.54,112.285,112.31,5367.0,60349.143,113.856,113.816,113.903,113.645,113.671,1.012115,2609.0,-0.1795,2018-05-28 15:06:46,0
665,511010.SH,20180529,112.3,112.389,112.141,112.172,2110.0,23691.834,113.671,113.661,113.751,113.5,113.531,1.012115,1299.0,-0.2942,2018-05-29 15:05:47,0
838,511010.SH,20180530,112.172,112.491,112.091,112.138,3546.98,39837.579,113.531,113.531,113.854,113.449,113.497,1.012115,1968.0,-0.336,2018-05-30 15:05:44,0
1061,511010.SH,20180531,112.18,112.249,112.1,112.149,4528.0,50780.091,113.497,113.539,113.609,113.458,113.508,1.012115,2642.0,-0.2881,2018-05-31 15:05:35,0
1352,511010.SH,20180601,112.2,112.248,112.115,112.189,5917.82,66381.72,113.508,113.559,113.608,113.473,113.548,1.012115,2288.0,-0.1504,2018-06-01 15:06:02,0
795,511010.SH,20180604,112.188,112.273,112.151,112.273,18088.23,202951.651,113.548,113.547,113.633,113.51,113.633,1.012115,6324.0,-0.0925,2018-06-04 15:05:36,0
1032,511010.SH,20180605,112.266,112.3,112.003,112.154,11969.3,134350.569,113.633,113.626,113.661,113.36,113.513,1.012115,5194.0,-0.1647,2018-06-05 15:05:45,0
1349,511010.SH,20180606,112.167,112.199,112.099,112.147,5487.24,61548.262,113.513,113.526,113.558,113.457,113.506,1.012115,2569.0,-0.1211,2018-06-06 15:05:37,0
1461,511010.SH,20180607,112.1,112.15,112.091,112.118,8675.0,97269.993,113.506,113.458,113.509,113.449,113.476,1.012115,4276.0,-0.147,2018-06-07 15:05:35,0
341,511010.SH,20180608,112.149,112.245,112.116,112.131,10738.99,120433.958,113.476,113.508,113.605,113.474,113.489,1.012115,4675.0,-0.2624,2018-06-08 15:05:17,0
1049,511010.SH,20180611,112.17,112.294,112.17,112.245,8669.28,97313.262,113.489,113.529,113.654,113.529,113.605,1.012115,3774.0,-0.1379,2018-06-11 15:05:23,0
1277,511010.SH,20180612,112.233,112.259,112.05,112.08,9708.0,108942.217,113.605,113.593,113.619,113.407,113.438,1.012115,4031.0,-0.1648,2018-06-12 15:05:36,0
1407,511010.SH,20180613,112.16,112.189,112.051,112.093,6630.0,74324.034,113.438,113.519,113.548,113.408,113.451,1.012115,2824.0,-0.2074,2018-06-13 15:05:22,0
194,511010.SH,20180614,112.116,112.277,112.092,112.097,8706.0,97682.17,113.451,113.474,113.637,113.45,113.455,1.012115,3473.0,-0.2784,2018-06-14 15:04:51,0
553,511010.SH,20180615,112.192,112.288,112.15,112.156,7653.06,85881.847,113.455,113.551,113.648,113.509,113.515,1.012115,3526.0,-0.2765,2018-06-15 15:06:30,0
14,511010.SH,20180619,112.241,112.45,112.142,112.418,2749.0,30865.836,113.515,113.601,113.812,113.501,113.78,1.012115,411.0,-0.1368,2018-06-19 15:05:37,0
414,511010.SH,20180620,112.4,112.41,112.28,112.403,2758.0,30987.678,113.78,113.762,113.772,113.64,113.765,1.012115,748.0,-0.1279,2018-06-20 15:06:05,0
592,511010.SH,20180621,112.274,112.491,112.274,112.34,1575.0,17707.647,113.765,113.634,113.854,113.634,113.701,1.012115,175.0,-0.1963,2018-06-21 15:05:57,0
756,511010.SH,20180622,112.34,112.449,112.304,112.416,1605.0,18038.651,113.701,113.701,113.811,113.665,113.778,1.012115,279.0,-0.1102,2018-06-22 15:05:36,0
104,511010.SH,20180625,112.417,112.597,112.412,112.562,3792.0,42665.176,113.778,113.779,113.961,113.774,113.926,1.012115,1598.0,0.0338,2018-06-25 15:06:07,0
358,511010.SH,20180626,112.55,112.696,112.55,112.61,4095.0,46112.946,113.926,113.914,114.061,113.914,113.974,1.012115,2284.0,0.0578,2018-06-26 15:05:58,0
647,511010.SH,20180627,112.613,112.696,112.5,112.547,11315.0,127343.269,113.974,113.977,114.061,113.863,113.911,1.012115,6490.0,-0.0409,2018-06-27 15:06:15,0
867,511010.SH,20180628,112.552,112.687,112.205,112.239,8704.0,97992.583,113.911,113.916,114.052,113.564,113.599,1.012115,2111.0,-0.4214,2018-06-28 15:06:06,0
1132,511010.SH,20180629,112.255,112.89,112.255,112.856,12571.0,141549.892,113.599,113.615,114.258,113.615,114.223,1.012115,2816.0,-0.0106,2018-06-29 15:05:59,0
220,511010.SH,20180702,112.85,112.9,112.627,112.842,9821.0,110817.476,114.223,114.217,114.268,113.991,114.209,1.012115,3506.0,-0.0947,2018-07-02 15:06:04,0
